Scenario,Total,Gen,Collisions,VerifyFails,Interpretation
Baseline,100,100,0,0,Secure
Skip_Attack,100,100,99,0,Fatal_Leakage
Flip_Stuck,100,100,99,0,Fatal_Leakage
Zero_Strong,100,100,99,0,Fatal_Leakage
Flip_Random_G1_R1,100,100,0,0,Noise_G1_Degradation
Flip_Random_G1_R2,100,100,0,0,Noise_G1_Degradation
Flip_Random_G1_R3,100,100,0,0,Noise_G1_Degradation
Flip_Random_G2_R1,100,100,0,0,Noise_G2_Degradation
Flip_Random_G2_R2,100,100,0,0,Noise_G2_Degradation
Flip_Random_G2_R3,100,100,0,0,Noise_G2_Degradation
Flip_Random_G4_R1,100,100,0,0,Noise_G4_Degradation
Flip_Random_G4_R2,100,100,0,0,Noise_G4_Degradation
Flip_Random_G4_R3,100,100,0,0,Noise_G4_Degradation
Flip_Random_G8_R1,100,100,0,0,Noise_G8_Degradation
Flip_Random_G8_R2,100,100,0,0,Noise_G8_Degradation
Flip_Random_G8_R3,100,100,0,0,Noise_G8_Degradation
Flip_Random_G16_R1,100,100,0,0,Noise_G16_Degradation
Flip_Random_G16_R2,100,100,0,0,Noise_G16_Degradation
Flip_Random_G16_R3,100,100,0,0,Noise_G16_Degradation
Zero_Weak,100,100,0,0,Ineffective_due_to_Diffusion
Combined_Real,100,100,0,0,Noise_Protects_Confidentiality
Flip_Random_G4_SingleRun,100,100,0,0,DoS_Availability_Loss
